,0,1
1116,29114,TAGLN3
1117,57118,CAMK1D
1118,3175,ONECUT1
1119,79698,ZMAT4
1120,146664,MGAT5B
1121,347736,NME9
1122,26257,NKX2-8
1123,3552,IL1A
1124,2827,GPR3
1125,2902,GRIN1
1126,321,APBA2
1127,5305,PIP4K2A
1128,389084,SNORC
1129,492,ATP2B3
1130,119,ADD2
1131,4988,OPRM1
1132,8534,CHST1
1133,340596,LHFPL1
1134,80333,KCNIP4
1135,491,ATP2B2
1136,440073,IQSEC3
1137,9900,SV2A
1138,79192,IRX1
1139,7781,SLC30A3
1140,10242,KCNMB2
1141,2731,GLDC
1142,89890,KBTBD6
1143,131375,LYZL4
1144,23217,ZFR2
1145,57030,SLC17A7
1146,222950,NYAP1
1147,4995,OR3A2
1148,195814,SDR16C5
1149,6252,RTN1
1150,4336,MOBP
1151,11182,SLC2A6
1152,133121,ENPP6
1153,952,CD38
1154,3439,IFNA1
1155,50674,NEUROG3
1156,6750,SST
1157,27239,GPR162
1158,57348,TTYH1
1159,134111,UBE2QL1
1160,9363,RAB33A
1161,4608,MYBPH
1162,108,ADCY2
1163,8404,SPARCL1
1164,222008,VSTM2A
1165,50834,TAS2R1
1166,54933,RHBDL2
1167,389549,FEZF1
1168,3889,KRT83
1169,575,ADGRB1
1170,645974,PABPC1L2B
1171,440050,KRTAP5-7
1172,400961,PAIP2B
1173,51062,ATL1
1174,407738,TAFA1
1175,149297,FAM78B
1176,124404,SEPTIN12
1177,9472,AKAP6
1178,29970,SCHIP1
1179,770,CA11
1180,259289,TAS2R43
1181,8988,HSPB3
1182,22883,CLSTN1
1183,24147,FJX1
1184,27122,DKK3
1185,23547,LILRA4
1186,11248,NXPH3
1187,10152,ABI2
1188,92691,TMEM169
1189,126520,PLK5
1190,2115,ETV1
1191,57821,CCDC181
1192,64478,CSMD1
1193,27012,KCNV1
1194,57415,C3ORF14
1195,23095,KIF1B
1196,64714,PDIA2
1197,1325,CORT
1198,3781,KCNN2
1199,1005,CDH7
1200,389158,PLSCR5
1201,9071,CLDN10
1202,250,ALPP
1203,793,CALB1
1204,114783,LMTK3
1205,1620,BRINP1
1206,7141,TNP1
1207,85352,SHISAL1
1208,23620,NTSR2
1209,5027,P2RX7
1210,4861,NPAS1
1211,287,ANK2
1212,23281,MTUS2
1213,23176,SEPTIN8
1214,149345,SHISA4
1215,6792,CDKL5
1216,6557,SLC12A1
1217,284339,TMEM145
1218,9717,SEC14L5
1219,158763,ARHGAP36
1220,84690,SPATA22
1221,3780,KCNN1
1222,3737,KCNA2
1223,55220,KLHDC8A
1224,273,AMPH
1225,5010,CLDN11
1226,391195,OR2T33
1227,220164,DOK6
1228,25758,KIAA1549L
1229,408263,FNDC9
1230,84249,PSD2
1231,85397,RGS8
1232,116988,AGAP3
1233,54443,ANLN
1234,56666,PANX2
1235,6658,SOX3
1236,9732,DOCK4
1237,5995,RGR
1238,161357,MDGA2
1239,1496,CTNNA2
1240,7369,UMOD
1241,201780,SLC10A4
1242,2043,EPHA4
1243,131405,TRIM71
1244,57687,VAT1L
1245,9796,PHYHIP
1246,117,ADCYAP1R1
1247,5648,MASP1
